"Treatment","Year","Month","Day","JDay","Tmin","Tmax"
1,2018,6,6,157,10.4548833333333,28.44935
1,2018,6,7,158,16.1753,25.9701166666667
1,2018,6,8,159,16.2672,21.9610666666667
1,2018,6,9,160,18.2822,25.5241833333333
1,2018,6,10,161,16.9892,23.72625
1,2018,6,11,162,15.4999333333333,21.5652
1,2018,6,12,163,13.98515,16.8583833333333
1,2018,6,13,164,7.88678833333333,16.6534833333333
1,2018,6,14,165,5.56875,20.76405
1,2018,6,15,166,14.3275166666667,22.4945833333333
1,2018,6,16,167,11.2463833333333,24.1857
1,2018,6,17,168,12.4327833333333,20.13155
1,2018,6,18,169,14.64115,21.2428666666667
1,2018,6,19,170,11.9830666666667,21.7011
1,2018,6,20,171,16.8509833333333,28.2672666666667
1,2018,6,21,172,9.97072333333333,19.4238666666667
1,2018,6,22,173,8.96877166666667,16.0341166666667
1,2018,6,23,174,8.89102166666667,17.29975
1,2018,6,24,175,10.1823,18.6331333333333
1,2018,6,25,176,12.0682833333333,19.9989166666667
1,2018,6,26,177,11.8425166666667,21.78665
1,2018,6,27,178,7.109265,25.3779333333333
1,2018,6,28,179,7.52171,26.6767166666667
1,2018,6,29,180,15.1020833333333,28.27915
1,2018,6,30,181,11.18075,28.0628
1,2018,7,1,182,13.2672,25.8553666666667
1,2018,7,2,183,9.119565,27.3617833333333
1,2018,7,3,184,7.99642666666666,29.2491833333333
1,2018,7,4,185,13.7927833333333,25.7848
1,2018,7,5,186,14.5747,24.7573833333333
1,2018,7,6,187,14.8671166666667,24.5133333333333
1,2018,7,7,188,12.0556333333333,25.7183
1,2018,7,8,189,11.28325,24.8697833333333
1,2018,7,9,190,14.1144166666667,23.1907666666667
1,2018,7,10,191,12.70795,17.6392
1,2018,7,11,192,11.6984,21.8083166666667
1,2018,7,12,193,15.4961,25.1354666666667
1,2018,7,13,194,14.4904,26.5469666666667
1,2018,7,14,195,12.4282666666667,26.9980166666667
1,2018,7,15,196,10.2530166666667,28.07455
1,2018,7,16,197,10.4432,29.33705
1,2018,7,17,198,13.4720166666667,27.9195166666667
1,2018,7,18,199,10.7407833333333,25.6846166666667
1,2018,7,19,200,10.229645,27.8504
1,2018,7,20,201,11.66565,28.45015
1,2018,7,21,202,14.7445333333333,26.6217833333333
1,2018,7,22,203,17.29885,26.9404833333333
1,2018,7,23,204,13.5003166666667,27.4002
1,2018,7,24,205,13.2896833333333,30.8883666666667
1,2018,7,25,206,15.4011333333333,30.8870833333333
1,2018,7,26,207,16.7525166666667,31.1541166666667
1,2018,7,27,208,15.5341666666667,31.1607833333333
1,2018,7,28,209,19.7765333333333,27.5428166666667
1,2018,7,29,210,14.6704,28.9664666666667
1,2018,7,30,211,15.2790666666667,29.9180166666667
1,2018,7,31,212,15.5941666666667,32.114593915781
1,2018,8,1,213,17.3546,25.57095
1,2018,8,2,214,13.6282833333333,29.2682666666667
1,2018,8,3,215,16.6632833333333,32.06795
1,2018,8,4,216,21.35355,31.81105
1,2018,8,5,217,16.0627,27.4264166666667
1,2018,8,6,218,11.6665833333333,29.38775
1,2018,8,7,219,13.8728666666667,31.5845166666667
1,2018,8,8,220,17.48615,25.7105666666667
1,2018,8,9,221,14.7362166666667,28.2251666666667
1,2018,8,10,222,10.5170716666667,22.4670166666667
1,2018,8,11,223,10.8113166666667,22.2855166666667
1,2018,8,12,224,8.35254,26.9140333333333
1,2018,8,13,225,12.6416,22.2650833333333
1,2018,8,14,226,15.7783333333333,22.3041
1,2018,8,15,227,15.5955666666667,23.3237833333333
1,2018,8,16,228,11.4161666666667,29.7537833333333
1,2018,8,17,229,12.1822666666667,21.1823666666667
1,2018,8,18,230,9.36737166666666,25.4256166666667
1,2018,8,19,231,10.61725,28.0796666666667
1,2018,8,20,232,15.4881166666667,22.7954
1,2018,8,21,233,16.7160666666667,26.6144333333333
1,2018,8,22,234,12.14325,29.4135166666667
1,2018,8,23,235,13.4027166666667,28.3679666666667
1,2018,8,24,236,13.8466166666667,19.9411666666667
1,2018,8,25,237,9.639675,17.1182
1,2018,8,26,238,4.27594,20.4241833333333
1,2018,8,27,239,12.48645,22.6114
1,2018,8,28,240,12.5550833333333,24.11715
1,2018,8,29,241,10.23705,26.3551666666667
1,2018,8,30,242,11.9165666666667,19.66425
1,2018,8,31,243,9.026145,20.1298833333333
1,2018,9,1,244,3.41136166666666,20.2318833333333
1,2018,9,2,245,3.90266,20.8236666666667
1,2018,9,3,246,14.86405,20.7721666666667
1,2018,9,4,247,14.9003166666667,26.5465666666667
1,2018,9,5,248,15.5391166666667,27.2383833333333
1,2018,9,6,249,15.9718333333333,20.3011
1,2018,9,7,250,11.1723166666667,17.8612666666667
1,2018,9,8,251,6.28366,21.97775
1,2018,9,9,252,8.46045833333333,24.9049666666667
1,2018,9,10,253,12.7367833333333,23.68415
1,2018,9,11,254,11.2165833333333,28.0080333333333
1,2018,9,12,255,10.5691166666667,26.4821166666667
1,2018,9,13,256,13.9909333333333,16.6039666666667
1,2018,9,14,257,7.31322333333333,21.0060833333333
1,2018,9,15,258,8.912515,20.4623333333333
1,2018,9,16,259,6.96450166666667,24.06445
1,2018,9,17,260,6.61012166666666,27.4132666666667
1,2018,9,18,261,13.8182166666667,31.3891166666667
1,2018,9,19,262,12.0755166666667,27.9616833333333
1,2018,9,20,263,12.2380166666667,26.99145
1,2018,9,21,264,13.11025,21.6862166666667
1,2018,9,22,265,10.6478666666667,17.4193166666667
1,2018,9,23,266,8.52941,14.08295
1,2018,9,24,267,6.92981,13.8692833333333
1,2018,9,25,268,1.571755,15.1278333333333
1,2018,9,26,269,2.404885,18.73005
1,2018,9,27,270,3.45354333333333,24.4023666666667
1,2018,9,28,271,4.06707333333334,12.1089166666667
1,2018,9,29,272,-0.547305500000004,16.2703333333333
1,2018,9,30,273,-0.00331678333333318,17.1994833333333
1,2018,10,1,274,6.98637166666667,12.3963333333333
1,2018,10,2,275,6.97475833333333,13.0008
1,2018,10,3,276,6.53337166666667,14.7574166666667
1,2018,10,4,277,3.87417333333333,18.0156166666667
1,2018,10,5,278,5.67495666666667,21.1763333333333
1,2018,10,6,279,8.585115,24.8362333333333
1,2018,10,7,280,6.10421,14.3790166666667
1,2018,10,8,281,2.35868833333333,16.8519833333333
1,2018,10,9,282,5.48788333333333,20.7318666666667
1,2018,10,10,283,6.36878333333333,22.51225
1,2018,10,11,284,10.7388333333333,21.1613166666667
1,2018,10,12,285,13.7296833333333,25.2036333333333
1,2018,10,13,286,14.6147,26.7642166666667
1,2018,10,14,287,13.1385833333333,25.5535
1,2018,10,15,288,9.26177166666667,25.9422
1,2018,10,16,289,6.62812333333333,24.7759666666667
1,2018,10,17,290,8.722365,23.0762333333333
1,2018,10,18,291,8.87666166666667,15.9724833333333
1,2018,10,19,292,5.97797833333333,16.3234166666667
1,2018,10,20,293,2.26745166666667,13.6636166666667
1,2018,10,21,294,-0.0345609999999992,15.8800333333333
1,2018,10,22,295,1.81078333333333,12.1615
1,2018,10,23,296,5.23472666666667,13.7156666666667
1,2018,10,24,297,12.1813166666667,14.1904
1,2018,10,25,298,10.1072666666667,12.2665
1,2018,10,26,299,6.44865833333333,10.8082666666667
1,2018,10,27,300,-0.228672166666669,7.71217166666667
1,2018,10,28,301,-0.425766499999995,6.46237833333333
1,2018,10,29,302,4.03656,6.26262833333333
1,2018,10,30,303,3.23724,8.40432166666666
1,2018,10,31,304,3.70197333333334,9.47877333333333
1,2018,11,1,305,5.31336666666667,10.3882883333333
1,2018,11,2,306,0.776583833333333,10.0545783333333
1,2018,11,3,307,-1.99526333333334,9.93788833333333
1,2018,11,4,308,-0.984350166666668,11.4483
1,2018,11,5,309,8.74504333333333,12.64745
1,2018,11,6,310,7.490045,15.7547166666667
1,2018,11,7,311,6.83477333333333,15.8743833333333
1,2018,11,8,312,3.753745,14.4421166666667
1,2018,11,9,313,5.66127666666667,14.8572666666667
1,2018,11,10,314,9.91908166666667,14.9689
1,2018,11,11,315,10.34625,14.3516
1,2018,11,12,316,9.998245,19.0708166666667
1,2018,11,13,317,7.809895,13.5515666666667
1,2018,11,14,318,4.12732666666667,11.4095166666667
1,2018,11,15,319,2.79852833333333,7.558455
1,2018,11,16,320,3.96402833333334,10.4361666666667
1,2018,11,17,321,-2.09500666666667,10.8510333333333
1,2018,11,18,322,-5.11637666666667,6.14204
1,2018,11,19,323,-4.18159500000001,5.62175
1,2018,11,20,324,1.355,4.9185
1,2018,11,21,325,-0.89325,4.48725
1,2018,11,22,326,-1.53875,10.14775
1,2018,11,23,327,-1.57025,13.231
1,2018,11,24,328,0.07375,6.04675
1,2018,11,25,329,0.71,5.607
1,2018,11,26,330,3.86925,5.367
1,2018,11,27,331,-1.2505,10.02975
1,2018,11,28,332,-1.66925,6.54025
1,2018,11,29,333,4.852,6.9055
1,2018,11,30,334,5.384,13.07125
1,2018,12,1,335,1.804,12.729
1,2018,12,2,336,7.9235,18.70325
1,2018,12,3,337,9.63125,18.04675
1,2018,12,4,338,-0.8175,13.13325
1,2018,12,5,339,-0.82725,11.375
1,2018,12,6,340,6.5265,13.35975
1,2018,12,7,341,5.3265,14.15675
1,2018,12,8,342,4.6885,9.4775
1,2018,12,9,343,5.24425,8.92625
1,2018,12,10,344,2.102,9.0975
1,2018,12,11,345,-0.3085,7.38675
1,2018,12,12,346,-1.736,6.4
1,2018,12,13,347,-4.39425,10.95275
1,2018,12,14,348,-0.4125,2.51625
1,2018,12,15,349,-1.40875,0.70075
1,2018,12,16,350,-1.9435,2.05075
1,2018,12,17,351,-0.49825,10.0375
1,2018,12,18,352,1.988,11.98
1,2018,12,19,353,3.5765,16.57575
1,2018,12,20,354,4.02475,13.733
1,2018,12,21,355,6.51375,15.05275
1,2018,12,22,356,5.87225,12.8605
1,2018,12,23,357,4.451,10.36575
1,2018,12,24,358,-2.99725,9.204
1,2018,12,25,359,-3.78925,8.73525
1,2018,12,26,360,-6.11875,11.798
1,2018,12,27,361,-1.7715,5.23625
1,2018,12,28,362,-4.26075,17.177
1,2018,12,29,363,0.7525,7.854
1,2018,12,30,364,6.037,8.1755
1,2018,12,31,365,7.13625,8.82875
1,2019,1,1,1,3.22125,7.3555
1,2019,1,2,2,-0.445,6.95775
1,2019,1,3,3,-1.25875,3.771
1,2019,1,4,4,1.8345,3.7855
1,2019,1,5,5,2.35875,5.53575
1,2019,1,6,6,3.8265,4.9025
1,2019,1,7,7,3.028,6.84075
1,2019,1,8,8,3.628,7.27325
1,2019,1,9,9,0.89975,6.9115
1,2019,1,10,10,-0.36675,2.13375
1,2019,1,11,11,0.021,5.671
1,2019,1,12,12,4.21375,6.306
1,2019,1,13,13,5.52225,8.1055
1,2019,1,14,14,1.2985,6.65525
1,2019,1,15,15,0.2075,7.80625
1,2019,1,16,16,3.284,7.55275
1,2019,1,17,17,0.45425,12.527
1,2019,1,18,18,-3.08625,13.57125
1,2019,1,19,19,-5.30175,6.314
1,2019,1,20,20,-9.27925,6.89525
1,2019,1,21,21,-10.7165,11.001
1,2019,1,22,22,-7.86575,2.27025
1,2019,1,23,23,-3.0555,0.75775
1,2019,1,24,24,-3.7535,-1.53125
1,2019,1,25,25,-2.93625,7.2535
1,2019,1,26,26,2.5705,9.30375
1,2019,1,27,27,1.612,10.91575
1,2019,1,28,28,1.17525,2.8515
1,2019,1,29,29,-2.15,8.60175
1,2019,1,30,30,-1.37975,1.1795
1,2019,1,31,31,-7.691,7.39875
1,2019,2,1,32,-2.10275,11.52175
1,2019,2,2,33,0.15925,4.59875
1,2019,2,3,34,-2.07375,4.43
1,2019,2,4,35,-2.68175,9.7935
1,2019,2,5,36,0.147,7.43
1,2019,2,6,37,-1.05725,14.53975
1,2019,2,7,38,3.1775,12.24575
1,2019,2,8,39,2.8725,9.97175
1,2019,2,9,40,5.13775,13.47375
1,2019,2,10,41,3.7155,10.421
1,2019,2,11,42,1.20425,8.1295
1,2019,2,12,43,-0.79225,9.36475
1,2019,2,13,44,-2.22025,11.74875
1,2019,2,14,45,-2.2205,17.06975
1,2019,2,15,46,0.1,18.48075
1,2019,2,16,47,0.96075,19.82925
1,2019,2,17,48,0.49325,19.14675
1,2019,2,18,49,0.08575,19.89375
1,2019,2,19,50,1.587,16.1375
1,2019,2,20,51,-0.307,17.931
1,2019,2,21,52,-0.05625,16.14225
1,2019,2,22,53,2.75,15.17625
1,2019,2,23,54,1.41025,12.743
1,2019,2,24,55,-0.346,17.5865
1,2019,2,25,56,-0.9745,20.6
1,2019,2,26,57,-0.531,25.4005
1,2019,2,27,58,0.96275,24.879
1,2019,2,28,59,-0.11825,18.85775
1,2019,3,1,60,4.7965,8.94875
1,2019,3,2,61,4.24025,12.62675
1,2019,3,3,62,6.98925,12.78275
1,2019,3,4,63,5.23175,14.76925
1,2019,3,5,64,2.19175,11.76575
1,2019,3,6,65,4.45275,14.024
1,2019,3,7,66,4.976,14.9495
1,2019,3,8,67,4.90675,13.264
1,2019,3,9,68,5.892,14.92725
1,2019,3,10,69,1.96175,16.01375
1,2019,3,11,70,0.7005,8.1305
1,2019,3,12,71,0.81025,10.633
1,2019,3,13,72,3.467,9.8815
1,2019,3,14,73,3.17625,10.04775
1,2019,3,15,74,5.3675,13.53875
1,2019,3,16,75,6.989,12.41975
1,2019,3,17,76,1.86775,11.659
1,2019,3,18,77,-0.86275,9.3205
1,2019,3,19,78,-4.57225,15.62775
1,2019,3,20,79,-1.99625,17.52225
1,2019,3,21,80,-0.33225,20.14525
1,2019,3,22,81,0.52825,20.93
1,2019,3,23,82,3.54175,11.12625
1,2019,3,24,83,0.81925,13.722
1,2019,3,25,84,1.174,7.68
1,2019,3,26,85,4.1565,10.2635
1,2019,3,27,86,-0.3585,13.395
1,2019,3,28,87,-0.02075,16.55925
1,2019,3,29,88,-0.242,19.654
1,2019,3,30,89,0.59675,21.6285
1,2019,3,31,90,1.84425,18.229
1,2019,4,1,91,-1.815,20.47475
1,2019,4,2,92,4.11825,19.07575
1,2019,4,3,93,4.86075,10.23625
1,2019,4,4,94,2.01625,8.5835
1,2019,4,5,95,1.815,10.99025
1,2019,4,6,96,6.02725,18.705
1,2019,4,7,97,2.59625,24.31325
1,2019,4,8,98,6.172,23.623
1,2019,4,9,99,7.6915,17.4355
1,2019,4,10,100,2.3655,17.13475
1,2019,4,11,101,-2.9435,14.36975
1,2019,4,12,102,-2.3885,7.38275
1,2019,4,13,103,-1.46525,8.29125
1,2019,4,14,104,-1.7655,13.23425
1,2019,4,15,105,-1.223,20.65475
1,2019,4,16,106,1.65275,21.82675
1,2019,4,17,107,4.937,21.4215
1,2019,4,18,108,2.33025,24.77225
1,2019,4,19,109,2.202,28.47
1,2019,4,20,110,2.41475,29.6695
1,2019,4,21,111,2.34675,30.90425
1,2019,4,22,112,3.83175,28.62225
1,2019,4,23,113,5.08225,24.16425
1,2019,4,24,114,7.59325,31.08425
1,2019,4,25,115,5.75075,24.0645
1,2019,4,26,116,7.929,20.238
1,2019,4,27,117,5.32525,15.77125
1,2019,4,28,118,1.67675,17.17825
1,2019,4,29,119,-0.95475,18.58275
