"DATE","Year","Month","Day","nodata","Tmin","Tmax"
2001-01-01 12:00:00,2001,1,1,1,0.630684703004931,8.3112278757328
2001-01-02 12:00:00,2001,1,2,NA,0.944064723884583,9.00658123827987
2001-01-03 12:00:00,2001,1,3,NA,-0.669206245746496,6.44711351621123
2001-01-04 12:00:00,2001,1,4,NA,2.23958755273798,9.77824836995026
2001-01-05 12:00:00,2001,1,5,NA,5.5929274694191,11.3650995923118
2001-01-06 12:00:00,2001,1,6,NA,4.09094703800886,10.3399925373584
2001-01-07 12:00:00,2001,1,7,NA,6.68524908474999,10.7863525369679
2001-01-08 12:00:00,2001,1,8,NA,4.83079600966363,11.1329501315825
2001-01-09 12:00:00,2001,1,9,NA,3.24508133734689,8.35460244116793
2001-01-10 12:00:00,2001,1,10,NA,6.51015083185357,9.44544559725317
2001-01-11 12:00:00,2001,1,11,NA,5.80198349369535,8.82146903809677
2001-01-12 12:00:00,2001,1,12,NA,6.54957100049008,13.4750577900545
2001-01-13 12:00:00,2001,1,13,NA,7.62809849462871,16.2031258464949
2001-01-14 12:00:00,2001,1,14,NA,5.01118972821718,6.89722418143323
2001-01-15 12:00:00,2001,1,15,NA,5.83371628582498,6.87709707792765
2001-01-16 12:00:00,2001,1,16,NA,3.60727790970299,6.01698648473143
2001-01-17 12:00:00,2001,1,17,NA,2.78208247227336,6.03876337007941
2001-01-18 12:00:00,2001,1,18,NA,-2.42986092220458,-0.651177844326806
2001-01-19 12:00:00,2001,1,19,NA,-2.548186637169,1.9562880661427
2001-01-20 12:00:00,2001,1,20,NA,-9.17500329885194,-2.92595779950243
2001-01-21 12:00:00,2001,1,21,NA,-14.1045247939491,-4.64692442034133
2001-01-22 12:00:00,2001,1,22,NA,-12.0002060491598,-2.04772387008465
2001-01-23 12:00:00,2001,1,23,NA,-6.90752959610774,0.588758119025818
2001-01-24 12:00:00,2001,1,24,NA,-4.68918046949213,0.990197716850069
2001-01-25 12:00:00,2001,1,25,NA,-7.15161182594994,-0.435760053794066
