"DATE","Year","Month","Day","nodata","Tmin","Tmax"
2001-01-01 12:00:00,2001,1,1,1,1.14074232675243,8.71442546644174
2001-01-02 12:00:00,2001,1,2,NA,1.7563243609794,9.81056853487734
2001-01-03 12:00:00,2001,1,3,NA,0.183639812377017,7.28951209436944
2001-01-04 12:00:00,2001,1,4,NA,3.11922560221601,10.6692381089457
2001-01-05 12:00:00,2001,1,5,NA,6.51192516522781,12.2879852480607
2001-01-06 12:00:00,2001,1,6,NA,5.04927575599944,11.290162106192
2001-01-07 12:00:00,2001,1,7,NA,7.66895084506859,11.7726103322125
2001-01-08 12:00:00,2001,1,8,NA,5.84307525795187,12.1464250023592
2001-01-09 12:00:00,2001,1,9,NA,4.28394981910305,9.39110289803097
2001-01-10 12:00:00,2001,1,10,NA,7.57470664531361,10.4991807593094
2001-01-11 12:00:00,2001,1,11,NA,6.88042220470093,9.89703751813721
2001-01-12 12:00:00,2001,1,12,NA,7.63856278267809,14.5680705543652
2001-01-13 12:00:00,2001,1,13,NA,8.74363150110752,17.2893628431803
2001-01-14 12:00:00,2001,1,14,NA,6.11320596889331,8.00799846308987
2001-01-15 12:00:00,2001,1,15,NA,6.93610281376798,7.98926811411981
2001-01-16 12:00:00,2001,1,16,NA,4.71104967433563,7.12011023991938
2001-01-17 12:00:00,2001,1,17,NA,3.87768250347439,7.13334807280843
2001-01-18 12:00:00,2001,1,18,NA,-1.34629319411088,0.430112791797506
2001-01-19 12:00:00,2001,1,19,NA,-1.47744792005781,3.01689891747054
2001-01-20 12:00:00,2001,1,20,NA,-8.12587797209963,-1.88499162190713
2001-01-21 12:00:00,2001,1,21,NA,-13.0844542965642,-3.62547758802798
2001-01-22 12:00:00,2001,1,22,NA,-10.9903132557992,-1.07155646119966
2001-01-23 12:00:00,2001,1,23,NA,-5.9460261850324,1.55140798769447
2001-01-24 12:00:00,2001,1,24,NA,-3.76123322197027,1.91848018927628
2001-01-25 12:00:00,2001,1,25,NA,-6.25935637290212,0.454707173770446
2001-01-26 12:00:00,2001,1,26,NA,-2.64595103296557,5.04324316743675
2001-01-27 12:00:00,2001,1,27,NA,-3.48685845720373,5.15538488474779
2001-01-28 12:00:00,2001,1,28,NA,0.745110105157714,6.20166807331888
2001-01-29 12:00:00,2001,1,29,NA,3.91298529173683,6.83043398712298
2001-01-30 12:00:00,2001,1,30,NA,2.31515043784233,9.9588485785192
2001-01-31 12:00:00,2001,1,31,NA,1.61751343407243,12.3773977045007
2001-02-01 12:00:00,2001,2,1,NA,5.5597183464635,14.922446714619
2001-02-02 12:00:00,2001,2,2,NA,8.78799846556118,18.202137437438
2001-02-03 12:00:00,2001,2,3,NA,6.94860060915966,15.8951602528347
2001-02-04 12:00:00,2001,2,4,NA,9.0496842259931,11.1552678837295
2001-02-05 12:00:00,2001,2,5,NA,5.83410401970834,7.87637878250084
2001-02-06 12:00:00,2001,2,6,NA,4.82878678758737,8.78874220795746
2001-02-07 12:00:00,2001,2,7,NA,0.469460107630611,6.11290368268574
2001-02-08 12:00:00,2001,2,8,NA,-0.0844084650578747,6.57647246709854
2001-02-09 12:00:00,2001,2,9,NA,4.58406844435329,13.093085934444
2001-02-10 12:00:00,2001,2,10,NA,3.73546689278676,12.16858809765
2001-02-11 12:00:00,2001,2,11,NA,0.940958716206123,4.00027882783457
2001-02-12 12:00:00,2001,2,12,NA,-3.66327046782025,0.557734082515356
2001-02-13 12:00:00,2001,2,13,NA,-2.6236944929752,-0.0775991170657839
2001-02-14 12:00:00,2001,2,14,NA,-1.22145212275132,0.884131534985053
2001-02-15 12:00:00,2001,2,15,NA,-3.00390899999042,-0.984673087932689
2001-02-16 12:00:00,2001,2,16,NA,-0.319052122675446,2.38064298992073
2001-02-17 12:00:00,2001,2,17,NA,-5.68804317718984,-2.74416330773808
2001-02-18 12:00:00,2001,2,18,NA,-5.90248114819821,4.74458873359362
2001-02-19 12:00:00,2001,2,19,NA,-8.04899743903731,0.319325836660695
2001-02-20 12:00:00,2001,2,20,NA,-1.78730001223921,1.49798222001076
2001-02-21 12:00:00,2001,2,21,NA,-3.14267329400055,3.76959435087862
2001-02-22 12:00:00,2001,2,22,NA,-3.80212740881436,4.68297073967068
2001-02-23 12:00:00,2001,2,23,NA,-0.464458954444699,5.86825765879567
2001-02-24 12:00:00,2001,2,24,NA,1.82559612334331,5.77561962952501
2001-02-25 12:00:00,2001,2,25,NA,1.75812610874412,7.09623555055308
2001-02-26 12:00:00,2001,2,26,NA,3.29042725265343,8.20348304964925
2001-02-27 12:00:00,2001,2,27,NA,1.31899548166857,8.52056328559068
2001-02-28 12:00:00,2001,2,28,NA,-6.2130604003893,-1.23553585943068
2001-03-01 12:00:00,2001,3,1,NA,-4.77316076648866,-0.580098549263525
2001-03-02 12:00:00,2001,3,2,NA,-8.8617500522835,-2.12976557697675
2001-03-03 12:00:00,2001,3,3,NA,-3.50380237793817,3.60599331429696
2001-03-04 12:00:00,2001,3,4,NA,-2.32260937504179,4.1299082665104
2001-03-05 12:00:00,2001,3,5,NA,-7.47877272882679,1.2644054442863
2001-03-06 12:00:00,2001,3,6,NA,-0.237987597565434,4.7524123587072
2001-03-07 12:00:00,2001,3,7,NA,1.49884033809243,5.08532819935368
2001-03-08 12:00:00,2001,3,8,NA,0.640208950037219,7.07594808664319
2001-03-09 12:00:00,2001,3,9,NA,-0.0255624045216432,7.48842646804393
2001-03-10 12:00:00,2001,3,10,NA,0.969356060094027,7.58780783939531
2001-03-11 12:00:00,2001,3,11,NA,3.17111605645201,12.090704304271
2001-03-12 12:00:00,2001,3,12,NA,2.54292246049481,13.6873527249907
2001-03-13 12:00:00,2001,3,13,NA,-0.733599036062674,10.7040930379664
2001-03-14 12:00:00,2001,3,14,NA,1.52291674729405,8.14136852659534
2001-03-15 12:00:00,2001,3,15,NA,-0.106029661428489,8.45251829134356
2001-03-16 12:00:00,2001,3,16,NA,2.48236048808826,8.34025128710854
2001-03-17 12:00:00,2001,3,17,NA,-0.54218508916207,7.04875491546569
2001-03-18 12:00:00,2001,3,18,NA,-2.65063328352871,8.74370803527728
2001-03-19 12:00:00,2001,3,19,NA,-0.211974684948668,15.8055924074579
2001-03-20 12:00:00,2001,3,20,NA,1.87047497003781,10.2606177152811
2001-03-21 12:00:00,2001,3,21,NA,0.701129989520173,10.1071760575255
2001-03-22 12:00:00,2001,3,22,NA,-0.197107721111821,8.89476711475043
2001-03-23 12:00:00,2001,3,23,NA,-4.51744333977368,5.85227403336148
